go_id	go_term	go_domain	size	genes
GO:0000023	maltose metabolic process	biological_process	1	1182600
GO:0000036	ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process	molecular_function	2	1185502|1186770
GO:0000105	histidine biosynthetic process	biological_process	9	1185401|1186118|1186119|1186120|1186838|1186839|1187019|1187020|1187023
GO:0000107	imidazoleglycerol-phosphate synthase activity	molecular_function	1	1187019
GO:0000154	rRNA modification	biological_process	3	1181787|1182161|1183330
GO:0000155	phosphorelay sensor kinase activity	molecular_function	7	1182674|1183242|1183243|1183444|1183547|1183600|1185759
GO:0000156	phosphorelay response regulator activity	molecular_function	57	1181735|1181912|1181937|1182081|1182411|1182525|1182527|1182593|1182673|1182926|1182943|1183119|1183120|1183121|1183127|1183309|1183419|1183447|1183515|1183539|1183601|1183609|1183764|1183776|1183777|1183863|1183897|1183957|1183967|1183981|1184303|1184365|1184366|1184370|1184371|1184550|1184903|1184955|1185040|1185191|1185249|1185361|1185573|1185706|1185759|1185760|1185856|1185911|1185973|1185974|1186055|1186520|1186531|1186551|1186699|1187086|1187174
GO:0000160	phosphorelay signal transduction system	biological_process	59	1181735|1181912|1181937|1182081|1182411|1182525|1182527|1182593|1182673|1182926|1182943|1183119|1183120|1183121|1183127|1183309|1183419|1183447|1183515|1183539|1183600|1183601|1183609|1183764|1183776|1183777|1183863|1183866|1183897|1183957|1183967|1183981|1184303|1184365|1184366|1184370|1184371|1184550|1184903|1184955|1185040|1185191|1185249|1185361|1185573|1185706|1185759|1185760|1185856|1185911|1185973|1185974|1186055|1186520|1186531|1186551|1186699|1187086|1187174
GO:0000162	tryptophan biosynthetic process	biological_process	6	1181766|1181767|1182178|1182203|1182204|1182205
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	molecular_function	1	1182161
GO:0000270	peptidoglycan metabolic process	biological_process	1	1182579
GO:0000271	polysaccharide biosynthetic process	biological_process	3	1182639|1185114|1185194
GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	molecular_function	2	1184800|1186511
GO:0000906	6,7-dimethyl-8-ribityllumazine synthase activity	molecular_function	1	1182313
